FECHA_CORTE,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ANNIO,MODALIDAD_DE_POSTULACION,EBA_EBR,EGRESO_SECUNDARIA,PRIMERA_OPCION,PRIMERA_OPCION_TURNO,SEGUNDA_OPCION,SEGUNDA_OPCION_TURNO,EDAD,SEXO
20230320,70101,CALLAO,CALLAO,CALLAO,2022,Ordinario - Examen de admisión,EBA - Educación Básica Alternativa,2020,Diseño Gráfico,Diurno,Desarrollo de Sistemas de Información,Diurno,18,Masculino
20230320,150101,LIMA,LIMA,LIMA,2022,Conadis,EBR - Educación Básica Regular,2007,Contabilidad,Nocturno,Administración,Nocturno,31,Masculino
20230320,150101,LIMA,LIMA,LIMA,2022,Ordinario - Examen de admisión,EBR - Educación Básica Regular,2019,Diseño Gráfico,Diurno,Diseño Gráfico,Nocturno,18,Femenino
20230320,150101,LIMA,LIMA,LIMA,2022,Ordinario - Examen de admisión,EBR - Educación Básica Regular,2017,Administración,Nocturno,Desarrollo de Sistemas de Información,Nocturno,21,Masculino
20230320,150135,LIMA,LIMA,SAN MARTIN DE PORRES,2022,Ordinario - Examen de admisión,EBR - Educación Básica Regular,,Contabilidad,Nocturno,Administración,Nocturno,40,Femenino
20230320,150108,LIMA,LIMA,CHORRILLOS,2022,Ordinario - Examen de admisión,EBR - Educación Básica Regular,2019,Desarrollo de Sistemas de Información,Nocturno,Construcción Civil,Nocturno,20,Masculino
20230320,150110,LIMA,LIMA,COMAS,2022,Ordinario - Examen de admisión,EBR - Educación Básica Regular,2021,Diseño Gráfico,Diurno,Diseño Publicitario,Diurno,17,Femenino
20230320,150106,LIMA,LIMA,CARABAYLLO,2022,Ordinario - Examen de admisión,EBR - Educación Básica Regular,2021,Diseño Publicitario,Diurno,Diseño Gráfico,Diurno,18,Femenino
20230320,150110,LIMA,LIMA,COMAS,2022,Ordinario - Examen de admisión,EBR - Educación Básica Regular,2011,Administración,Nocturno,Contabilidad,Nocturno,28,Masculino
20230320,70104,CALLAO,CALLAO,LA PERLA,2022,Ordinario - Examen de admisión,EBA - Educación Básica Alternativa,2019,Contabilidad,Nocturno,Mecánica de Producción,Nocturno,20,Masculino
