DEPARTAMENTO,PROVINCIA,DISTRITO,EDAD,SEXO,PRIMERA CARRERA,SEGUNDA CARRERA
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,LIMA,31,Masculino,Contabilidad,Administración
LIMA,LIMA,LIMA,18,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,LIMA,21,Masculino,Administración,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,40,Femenino,Contabilidad,Administración
LIMA,LIMA,CHORRILLOS,20,Masculino,Desarrollo de Sistemas de Información,Construcción Civil
LIMA,LIMA,COMAS,17,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,CARABAYLLO,18,Femenino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,COMAS,28,Masculino,Administración,Contabilidad
CALLAO,CALLAO,LA PERLA,20,Masculino,Contabilidad,Mecánica de Producción
LIMA,LIMA,SAN MARTIN DE PORRES,17,Masculino,Contabilidad,Diseño Gráfico
CALLAO,CALLAO,CALLAO,20,Masculino,Administración,Administración
LIMA,LIMA,PUEBLO LIBRE,17,Femenino,Contabilidad,Administración
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,19,Masculino,Construcción Civil,Mecánica de Producción
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,25,Masculino,Mecánica Automotriz,Mecánica Automotriz
LIMA,LIMA,PUEBLO LIBRE,19,Femenino,Desarrollo de Sistemas de Información,Diseño Publicitario
LIMA,LIMA,PUENTE PIEDRA,20,Femenino,Administración,Administración
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Publicitario,Diseño Publicitario
CALLAO,CALLAO,CALLAO,19,Femenino,Contabilidad,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Femenino,Administración,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,32,Masculino,Desarrollo de Sistemas de Información,Diseño Publicitario
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,17,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,SAN MARTIN DE PORRES,24,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,SAN MARTIN DE PORRES,19,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,21,Masculino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,LIMA,22,Masculino,Construcción Civil,Diseño Gráfico
LIMA,LIMA,CARABAYLLO,17,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,LIMA,20,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,LA PERLA,22,Femenino,Mecánica Automotriz,Diseño Publicitario
CALLAO,CALLAO,BELLAVISTA,20,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,SAN MARTIN DE PORRES,40,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,22,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,20,Masculino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,31,Masculino,Mecánica Automotriz,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,20,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,18,Femenino,Administración,Administración
LIMA,LIMA,SAN MIGUEL,19,Femenino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,SAN MARTIN DE PORRES,18,Femenino,Contabilidad,Administración
LIMA,LIMA,ATE,18,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,LINCE,19,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,COMAS,27,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,SAN MIGUEL,18,Masculino,Desarrollo de Sistemas de Información,Administración
CALLAO,CALLAO,CALLAO,28,Masculino,Desarrollo de Sistemas de Información,Contabilidad
LIMA,LIMA,SAN MARTIN DE PORRES,20,Femenino,Administración,Contabilidad
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MIGUEL,19,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,28,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,18,Masculino,Construcción Civil,Contabilidad
CALLAO,CALLAO,CALLAO,19,Masculino,Diseño Publicitario,Mecánica Automotriz
CALLAO,CALLAO,LA PERLA,17,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,LOS OLIVOS,23,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Femenino,Desarrollo de Sistemas de Información,Secretariado Ejecutivo
LIMA,LIMA,INDEPENDENCIA,30,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,LOS OLIVOS,20,Femenino,Administración,Desarrollo de Sistemas de Información
CALLAO,CALLAO,LA PERLA,17,Femenino,Diseño Publicitario,Secretariado Ejecutivo
LIMA,LIMA,LIMA,31,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,SAN MIGUEL,17,Femenino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,22,Masculino,Administración,Administración
LIMA,LIMA,SAN BORJA,18,Femenino,Administración,Diseño Gráfico
CALLAO,CALLAO,CALLAO,35,Masculino,Construcción Civil,Administración
CALLAO,CALLAO,CALLAO,18,Masculino,Desarrollo de Sistemas de Información,Contabilidad
LIMA,LIMA,PUENTE PIEDRA,18,Femenino,Administración,Construcción Civil
